ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
17,Paavo Johannes Aaltonen,M,28,5.7,141,Finland,1948,Gymnastics Men's Individual All-Around,Bronze
25,Alf Lied Aanning,M,24,NA,NA,Norway,1920,"Gymnastics Men's Team All-Around, Free System",Silver
38,Karl Jan Aas,M,20,NA,NA,Norway,1920,"Gymnastics Men's Team All-Around, Free System",Silver
51,Nstor Abad Sanjun,M,23,5.5,141,Spain,2016,Gymnastics Men's Individual All-Around,NA
133,Franz Abb,M,NA,NA,NA,Germany,1900,Gymnastics Men's Individual All-Around,NA
163,Ismail Abdallah,M,NA,NA,NA,United Arab Republic,1960,Gymnastics Men's Individual All-Around,NA
223,Mahmoud Abdel-Aal,M,19,NA,NA,Egypt,1948,Gymnastics Men's Individual All-Around,NA
230,Moustafa Abdelal,M,NA,NA,NA,Egypt,1948,Gymnastics Men's Individual All-Around,NA
244,Raouf Abdelraouf,M,22,5.5,139,Egypt,2000,Gymnastics Men's Individual All-Around,NA
394,Irene Abel,F,19,5.2,106,East Germany,1972,Gymnastics Women's Individual All-Around,NA
396,Katja Abel,F,25,5.4,121,Germany,2008,Gymnastics Women's Individual All-Around,NA
403,Ruth Abeles,F,18,5,106,Israel,1960,Gymnastics Women's Individual All-Around,NA
455,Denis Mikhaylovich Ablyazin,M,19,5.3,137,Russia,2012,Gymnastics Men's Team All-Around,NA
506,Andrei Abraham,M,19,NA,NA,Romania,1936,Gymnastics Men's Individual All-Around,NA
508,Bernhard Abraham,M,NA,NA,NA,Germany,1906,Gymnastics Men's Team All-Around,NA
521,Isak Abrahamsen,M,21,NA,NA,Norway,1912,"Gymnastics Men's Team All-Around, Free System",Gold
566,Jos Filipe Abreu,M,20,5.2,141,Portugal,1968,Gymnastics Men's Individual All-Around,NA
581,Elisabeta Abrudeanu,F,26,NA,NA,Romania,1952,Gymnastics Women's Individual All-Around,NA
610,Ginko Abukawa-Chiba,F,22,4.9,101,Japan,1960,Gymnastics Women's Individual All-Around,NA
627,Andreea Roxana Acatrinei,F,16,4.9,88,Romania,2008,Gymnastics Women's Individual All-Around,NA
635,Alfredo Accorsi,M,27,NA,NA,Italy,1908,Gymnastics Men's Team All-Around,NA
697,Fausto Alesio Acke (Padovini-),M,22,NA,NA,Sweden,1920,"Gymnastics Men's Team All-Around, Swedish System",Gold
774,"Nicolas Dominique ""Nic"" Adam",M,30,NA,NA,Luxembourg,1912,Gymnastics Men's Team All-Around,NA
800,Georgi Mirchev Adamov,M,25,5.7,141,Bulgaria,1964,Gymnastics Men's Individual All-Around,NA
970,Lena Kristina Adler,F,18,5.3,123,Sweden,1960,Gymnastics Women's Individual All-Around,NA
976,Jonna Eva-Maj Adlerteg,F,17,5,84,Sweden,2012,Gymnastics Women's Individual All-Around,NA
1003,Lena Annika Adomat,F,16,5.3,123,Sweden,1980,Gymnastics Women's Individual All-Around,NA
1071,Kseniya Dmitriyevna Afanasyeva,F,16,5.2,106,Russia,2008,Gymnastics Women's Individual All-Around,NA
1109,Lavinia Agache (-Carney),F,16,4.9,88,Romania,1984,Gymnastics Women's Individual All-Around,NA
1168,Umberto Agliorini,M,NA,NA,NA,Italy,1908,Gymnastics Men's Team All-Around,NA
