ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
17,Paavo Johannes Aaltonen,M,28,5.7,141,Finland,1948,Gymnastics Men's Individual All-Around,Bronze
17,Paavo Johannes Aaltonen,M,28,5.7,141,Finland,1948,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,M,28,5.7,141,Finland,1948,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,M,28,5.7,141,Finland,1948,Gymnastics Men's Pommelled Horse,Gold
17,Paavo Johannes Aaltonen,M,32,5.7,141,Finland,1952,Gymnastics Men's Team All-Around,Bronze
25,Alf Lied Aanning,M,24,NA,NA,Norway,1920,"Gymnastics Men's Team All-Around, Free System",Silver
38,Karl Jan Aas,M,20,NA,NA,Norway,1920,"Gymnastics Men's Team All-Around, Free System",Silver
394,Irene Abel,F,19,5.2,106,East Germany,1972,Gymnastics Women's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,M,19,5.3,137,Russia,2012,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,M,19,5.3,137,Russia,2012,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,5.3,137,Russia,2016,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,M,24,5.3,137,Russia,2016,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,5.3,137,Russia,2016,Gymnastics Men's Rings,Bronze
521,Isak Abrahamsen,M,21,NA,NA,Norway,1912,"Gymnastics Men's Team All-Around, Free System",Gold
610,Ginko Abukawa-Chiba,F,26,4.9,101,Japan,1964,Gymnastics Women's Team All-Around,Bronze
627,Andreea Roxana Acatrinei,F,16,4.9,88,Romania,2008,Gymnastics Women's Team All-Around,Bronze
697,Fausto Alesio Acke (Padovini-),M,22,NA,NA,Sweden,1920,"Gymnastics Men's Team All-Around, Swedish System",Gold
1071,Kseniya Dmitriyevna Afanasyeva,F,20,5.2,106,Russia,2012,Gymnastics Women's Team All-Around,Silver
1109,Lavinia Agache (-Carney),F,16,4.9,88,Romania,1984,Gymnastics Women's Team All-Around,Gold
1109,Lavinia Agache (-Carney),F,16,4.9,88,Romania,1984,Gymnastics Women's Horse Vault,Bronze
1211,"Estella ""Stella"" Agsteribbe (-Blits)",F,19,NA,NA,Netherlands,1928,Gymnastics Women's Team All-Around,Gold
1483,Nobuyuki Aihara,M,21,5.1,117,Japan,1956,Gymnastics Men's Team All-Around,Silver
1483,Nobuyuki Aihara,M,21,5.1,117,Japan,1956,Gymnastics Men's Floor Exercise,Silver
1483,Nobuyuki Aihara,M,25,5.1,117,Japan,1960,Gymnastics Men's Team All-Around,Gold
1483,Nobuyuki Aihara,M,25,5.1,117,Japan,1960,Gymnastics Men's Floor Exercise,Gold
1485,Yutaka Aihara,M,21,5.1,121,Japan,1992,Gymnastics Men's Team All-Around,Bronze
2347,Georg Albert Christian Albertsen,M,30,NA,NA,Denmark,1920,"Gymnastics Men's Team All-Around, Free System",Gold
2756,Georgios Aliprantis,M,NA,NA,NA,Greece,1906,Gymnastics Men's Rope Climbing,Gold
3249,Maksim Nikolayevich Alyoshin,M,21,5.4,139,Russia,2000,Gymnastics Men's Team All-Around,Bronze
3281,Simona Amnar (-Tabr),F,16,5.2,97,Romania,1996,Gymnastics Women's Individual All-Around,Bronze
3281,Simona Amnar (-Tabr),F,16,5.2,97,Romania,1996,Gymnastics Women's Team All-Around,Bronze
3281,Simona Amnar (-Tabr),F,16,5.2,97,Romania,1996,Gymnastics Women's Floor Exercise,Silver
3281,Simona Amnar (-Tabr),F,16,5.2,97,Romania,1996,Gymnastics Women's Horse Vault,Gold
3281,Simona Amnar (-Tabr),F,20,5.2,97,Romania,2000,Gymnastics Women's Individual All-Around,Gold
3281,Simona Amnar (-Tabr),F,20,5.2,97,Romania,2000,Gymnastics Women's Team All-Around,Gold
3281,Simona Amnar (-Tabr),F,20,5.2,97,Romania,2000,Gymnastics Women's Floor Exercise,Bronze
3362,Bianca Ambrosetti,F,14,NA,NA,Italy,1928,Gymnastics Women's Team All-Around,Silver
3554,Arthur Martinius Amundsen,M,22,NA,NA,Norway,1908,Gymnastics Men's Team All-Around,Silver
